blazes,estimated_probability,count,frequency
443,0.010980236393402405,1119343,0.010962400586730817
444,0.010438293395441339,1066070,0.010440665992011496
445,0.009902996298239049,1010820,0.009899569444825443
446,0.009376241175993113,956145,0.009364104219171191
447,0.008859753314606674,902641,0.008840107302236484
448,0.0083550838220011,852842,0.0083523956831719
449,0.007863608303059003,803034,0.007864595921683341
450,0.0073865274645914065,753150,0.007376051846392317
451,0.006924869498055477,707465,0.006928631108687434
452,0.006479494073903271,661628,0.006479721743377622
453,0.006051097771496013,618673,0.006059037540945461
454,0.005640220762322549,575902,0.005640155361403477
455,0.005247254561664893,535059,0.005240155247797686
456,0.004872450664405795,495706,0.004854747602161256
457,0.004515929884083495,461895,0.00452361610248872
458,0.004177692220701543,426015,0.0041722216389043654
459,0.003857627090890074,393162,0.0038504724105839425
460,0.003555523764495363,361960,0.0035448924202617846
461,0.003271081863335274,333533,0.00326648967733223
462,0.003003921790830679,307165,0.0030082519622878527
463,0.002753594974928965,281053,0.0027525214095254595
464,0.002519593820931888,257156,0.002518483686663829
465,0.0023013612852619118,234152,0.002293191650981151
466,0.002098299995384932,215222,0.002107798752551613
467,0.001909780855175571,195463,0.0019142869575136182
468,0.0017351510882622054,177296,0.0017363665779167128
469,0.0015737416847021665,161316,0.0015798648073459777
470,0.0014248742280416964,146250,0.0014323143896101394
471,0.0012878670907294195,131357,0.001286458265135173
472,0.0011620409956590663,118231,0.0011579074365674967
473,0.0010467239502877056,106655,0.0010445366921290216
474,0.0009412555674642135,96107,0.0009412337712291396
475,0.0008449907935189712,86117,0.00084339568061577
476,0.0007573030696633044,77723,0.000761188179854146
477,0.0006775869570672594,69114,0.0006768750545197618
478,0.0006052602594027573,62262,0.0006097692890660273
479,0.0005397656790943495,55535,0.0005438877239452929
480,0.00048057204514142225,48999,0.00047987673693338265
481,0.0004271751512367756,43777,0.0004287345438219697
482,0.0003790982430720085,38631,0.0003783366645130208
483,0.00033589219331012227,33901,0.0003320129239122963
484,0.00029713540177435117,30351,0.0002972456344550929
485,0.0002624334570414052,26719,0.00026167526957944146
486,0.0002314185939366682,23757,0.00023266661848867062
487,0.0002037489794441553,20839,0.00020408888591511585
488,0.00017910785738139807,18213,0.00017837088531944936
489,0.00015720257985998677,16132,0.00015799039817566336
490,0.0001377635511675311,14091,0.00013800165513843743
491,0.00012054310727161412,12284,0.0001203046151245877
492,0.00010531435172663954,10707,0.0001048601037234582
493,0.00009186996639979176,9316,0.00009123720241783287
494,0.00008002101313623141,8092,0.0000792498327570957
495,0.00006959574029808057,6923,0.0000678011112428786
496,0.00006043840604832172,6277,0.00006147444392193398
497,0.0000524081283216502,5462,0.0000534926577507732
498,0.00004537776964433872,4636,0.00004540314195030841
499,0.0000392328633383275,3952,0.00003870431772813176
500,0.00003387058616924858,3465,0.0000339348332307633
501,0.0000291987811803881,3052,0.000029890075330530906
502,0.00002513503328415761,2533,0.000024807195547914414
503,0.000021605799158638635,2248,0.000022016018788674142
504,0.00001854559211057635,1887,0.000018480528226969797
505,0.000015896221809059867,1614,0.000015806874699697538
506,0.00001360608815859984,1355,0.00001327033160972129
507,0.000011629528054486132,1209,0.00001184046562077715
508,9.926213339437038e-6,1036,0.000010146172359904987
509,8.460597947034375e-6,840,8.2266262377608e-6
510,7.201411964949104e-6,745,7.29623398468071e-6
511,6.121200170205062e-6,646,6.326667320944615e-6
512,5.195902470059116e-6,532,5.210196617248506e-6
513,4.404473617003134e-6,429,4.201455542856409e-6
514,3.728539547068769e-6,375,3.672600999000357e-6
515,3.152087709196172e-6,321,3.1437464551443057e-6
516,2.6611888036675087e-6,248,2.4288134606722363e-6
517,2.243747422700166e-6,230,2.252528612720219e-6
518,1.8892791816545545e-6,197,1.9293397248081876e-6
519,1.588712039118607e-6,146,1.429865988944139e-6
520,1.3342096250855024e-6,159,1.5571828235761515e-6
521,1.1190145242652667e-6,102,9.989474717280973e-7
522,9.373095934756244e-7,112,1.0968834983681066e-6
523,7.840955253114847e-7,90,8.814242397600857e-7
524,6.550830027766231e-7,68,6.659649811520647e-7
525,5.465979195137212e-7,64,6.26790570496061e-7
526,4.5549826626148117e-7,50,4.896801332000477e-7
527,3.791014051483652e-7,38,3.721569012320362e-7
528,3.1512056863258795e-7,27,2.644272719280257e-7
529,2.616095286760484e-7,31,3.0360168258402954e-7
530,2.1691448380828377e-7,16,1.5669764262401525e-7
531,1.796323069036479e-7,13,1.2731683463201237e-7
532,1.485743846819931e-7,18,1.7628484795201714e-7
533,1.2273536125909727e-7,12,1.1752323196801142e-7
534,1.0126617267971974e-7,11,1.0772962930401048e-7
535,8.345082748604026e-8,13,1.2731683463201237e-7
536,6.868645031546582e-8,6,5.876161598400571e-8
537,5.646616160900515e-8,4,3.917441065600381e-8
538,4.6364417100968665e-8,3,2.9380807992002856e-8
539,3.8024476220009625e-8,7,6.855521864800667e-8
541,2.548448938148997e-8,4,3.917441065600381e-8
542,2.082644827098102e-8,1,9.793602664000953e-9
543,1.6999902052520412e-8,1,9.793602664000953e-9
544,1.3860280502275287e-8,1,9.793602664000953e-9
546,9.18155322931776e-9,2,1.9587205328001906e-8
548,6.054342082130209e-9,1,9.793602664000953e-9
